Refererence set,Term,Preferred Term,Concept Id
Sykepleierdiagnoser,At increased risk of deep vein thrombosis (finding),risiko for djup venetrombose,225999004
Sykepleierdiagnoser,Difficulty transferring location (finding),vansker med forflytning,714884000
Sykepleierdiagnoser,At increased risk of intimate partner violence (finding),risiko for mishandling fra intimpartner,22791000175108
Sykepleierdiagnoser,Transplanted organ rejection (disorder),avstøtning av transplantert organ,213148006
Sykepleierdiagnoser,Adjustment disorder (disorder),tilpassingsforstyrring,17226007
Sykepleierdiagnoser,Discharge planning (procedure),planlegging av utskriving,371754007
Sykepleierdiagnoser,Extravasation of lymph onto skin (disorder),lymfelekkasje til hud,443903000
Sykepleierdiagnoser,At increased risk of impaired family coping (finding),risiko for svekket familiemestring,704351003
Sykepleierdiagnoser,Social isolation (finding),sosial isolasjon,422650009
Sykepleierdiagnoser,Impaired mobility (finding),nedsett mobilitet,82971005
Sykepleierdiagnoser,At increased risk of coping impairment (finding),risiko for mestringssvikt,704421005
Sykepleierdiagnoser,Fever (finding),feber,386661006
Sykepleierdiagnoser,Overflow incontinence of urine (finding),overløpsinkontinens,397878005
Sykepleierdiagnoser,Surgical wound finding (finding),funn om operasjonssår,419635000
Sykepleierdiagnoser,Difficulty with caretaking responsibilities (finding),vansker med omsorgsgiveransvar,423754004
Sykepleierdiagnoser,At increased risk of ulcer of foot due to diabetes mellitus (finding),risiko for diabetisk fotsår,714664001
Sykepleierdiagnoser,"Need for management of belief, values and spiritual needs (finding)","behov for ivaretakelse av livssyn, verdier og eksistensielle behov",377411000202103
Sykepleierdiagnoser,At increased risk of negative response to patient controlled analgesia (finding),risiko for negativ respons på pasientstyrt analgesi,704416007
Sykepleierdiagnoser,Overeating (finding),overeting,58424009
Sykepleierdiagnoser,Splitting - mental defense mechanism (finding),splitting - psykisk forsvarsmekanisme,286688002
Sykepleierdiagnoser,Excessive cerumen in ear canal (disorder),opphoping av øyrevoks i øyregang,126946000
Sykepleierdiagnoser,Difficulty swallowing (finding),svelgevansker,288939007
Sykepleierdiagnoser,At increased risk for spiritual distress (finding),risiko for eksistensiell krise,129701007
Sykepleierdiagnoser,Altered immunity (finding),endret immunitet,131145007
Sykepleierdiagnoser,Overweight (finding),overvektig,238131007
Sykepleierdiagnoser,Noncompliance with exercise regimen (finding),etterlever ikke treningsopplegg,704662005
Sykepleierdiagnoser,Euphoria (finding),eufori,85949006
Sykepleierdiagnoser,Poor manual dexterity (finding),nedsett finmotorikk i hand,306741005
Sykepleierdiagnoser,Decreased respiratory function (finding),redusert respiratorisk funksjon,80954004
Sykepleierdiagnoser,Alcohol dependence (disorder),alkoholavhengnad,66590003
Sykepleierdiagnoser,At increased risk of cross-infection (finding),risiko for kryssinfeksjon,225943002
Sykepleierdiagnoser,Lack of family support (finding),manglende pårørendestøtte,704489009
Sykepleierdiagnoser,At increased risk of negative quality of life (finding),risiko for negativ livskvalitet,704681002
Sykepleierdiagnoser,Nutritionally compromised (finding),svekt ernæringsstatus,284670008
Sykepleierdiagnoser,Impairment of infant development (finding),nedsett spedbarnsutvikling,704370008
Sykepleierdiagnoser,Pregnancy with abortive outcome (disorder),svangerskap som blir avslutta med spontan eller provosert abort,363681007
Sykepleierdiagnoser,Inadequate social support (finding),utilstrekkeleg sosial støtte,425022003
Sykepleierdiagnoser,Abnormal vaginal bleeding (finding),unormal vaginalblødning,301822002
Sykepleierdiagnoser,At increased risk of impaired infant development (finding),risiko for forseinka spedbarnsutvikling,704363008
Sykepleierdiagnoser,Anuria (finding),anuri,2472002
Sykepleierdiagnoser,Problem behavior (finding),problemåtferd,277843001
Sykepleierdiagnoser,Alteration in parenting (finding),endring i foreldreskap,406161008
Sykepleierdiagnoser,Cardiac arrhythmia (disorder),hjartearytmi,698247007
Sykepleierdiagnoser,At increased risk for dysfunctional grieving (finding),risiko for dysfunksjonell sorg,413588007
Sykepleierdiagnoser,Difficulty performing personal care activity (finding),vanskar med utføring av eigenomsorg,284778005
Sykepleierdiagnoser,Difficulty participating in care planning (finding),vanskar med å delta i planlegging av helsehjelp,705045007
Sykepleierdiagnoser,Bradycardia (finding),bradykardi,48867003
Sykepleierdiagnoser,Perioperative positioning injury (disorder),perioperativ leiringsskade,409032006
Sykepleierdiagnoser,Allodynia (finding),allodyni,247404004
Sykepleierdiagnoser,Deficient knowledge of physical therapy (finding),mangelfull kunnskap om fysioterapi,704402002
Sykepleierdiagnoser,Impaired psychomotor performance (finding),nedsett psykomotorisk funksjon,416909000
Sykepleierdiagnoser,Difficulty using verbal communication (finding),vansker med å kommunisere verbalt,32000005
Sykepleierdiagnoser,Thirst finding (finding),funn om tørste,289159000
Sykepleierdiagnoser,At increased risk for perinatal disorder (finding),risiko for perinatal sykdom,1269553009
Sykepleierdiagnoser,Fear of abandonment (finding),redd for å bli forlaten,704423008
Sykepleierdiagnoser,Renal alteration (finding),nyreforandring,130948000
Sykepleierdiagnoser,At increased risk for relocation stress syndrome (finding),risiko for stressliding ved omplassering,129711000
Sykepleierdiagnoser,Difficulty coughing (finding),vanskar med å hosta,289116005
Sykepleierdiagnoser,Deficient knowledge of symptom (finding),mangelfull kunnskap om symptom,704406004
Sykepleierdiagnoser,Noncompliance with medication regimen (finding),mangelfull etterlevelse av forskrevet medisin,129834002
Sykepleierdiagnoser,Ineffective community therapeutic regimen management (finding),ineffektiv handtering av behandlingsregime på lokalt nivå,129829001
Sykepleierdiagnoser,At increased risk for perioperative injury (finding),risiko for perioperativ skade,409031004
Sykepleierdiagnoser,Does not play (finding),leikar ikkje,300777006
Sykepleierdiagnoser,Ineffective family coping (finding),ineffektiv familiemeistring,409030003
Sykepleierdiagnoser,Abnormal digestive tract function (finding),unormal fordøyelsesfunksjon,61578001
Sykepleierdiagnoser,Acute psychosis (disorder),akutt psykose,65971000052100
Sykepleierdiagnoser,Impaired cardiovascular system function (finding),nedsett kardiovaskulær funksjon,733741005
Sykepleierdiagnoser,Noncompliance with treatment (finding),manglende etterlevelse av behandling,7058009
Sykepleierdiagnoser,Deficient knowledge of fetal development (finding),mangelfull kunnskap om fosterutvikling,713452008
Sykepleierdiagnoser,Pain due to arthritis (finding),smerter forårsaket av artritt,1137438000
Sykepleierdiagnoser,Lack of symptom control (finding),manglande symptomkontroll,704302001
Sykepleierdiagnoser,Financial problem (finding),økonomisk problem,160932005
Sykepleierdiagnoser,Noncompliance with dietary regimen (finding),etterlever ikkje kosthaldsregime,129832003
Sykepleierdiagnoser,Socialization alteration (finding),endret sosialisering,129872007
Sykepleierdiagnoser,Hyperventilation (finding),hyperventilering,68978004
Sykepleierdiagnoser,Impaired concentration (finding),nedsett konsentrasjon,1144748009
Sykepleierdiagnoser,Hemispatial neglect (finding),neglekt,32422007
Sykepleierdiagnoser,Below expected growth rate (finding),under forventet veksthastighet,440301000124106
Sykepleierdiagnoser,At increased risk of visual impairment (finding),risiko for svekket syn,477521000202103
Sykepleierdiagnoser,Palliative phase of illness (finding),palliativ fase,477681000202101
Sykepleierdiagnoser,Activity intolerance (finding),aktivitetsintoleranse,77427003
Sykepleierdiagnoser,Deficient knowledge about health (finding),mangelfull helsekunnskap,497611000202103
Sykepleierdiagnoser,Oral cavity problem (finding),problem i munnhule,300255008
Sykepleierdiagnoser,At increased risk of disturbed dying process (finding),risiko for forstyrra dødsprosess,457601000202105
Sykepleierdiagnoser,Family conflict (finding),familiekonflikt,81935006
Sykepleierdiagnoser,Medical equipment problem (finding),problem med medisinsk utstyr,578151000202105
Sykepleierdiagnoser,Allergy to food (finding),matallergi,414285001
Sykepleierdiagnoser,Pressure injury (disorder),trykksår,1163215007
Sykepleierdiagnoser,Impairment of child development (finding),nedsatt utvikling hos barn,704304000
Sykepleierdiagnoser,Impaired gas exchange (finding),svekt gassutveksling,70944005
Sykepleierdiagnoser,Finding of insufficient fluid intake (finding),utilstrekkeleg væskeinntak,249481003
Sykepleierdiagnoser,Ineffective airway clearance (finding),nedsatt evne til å holde luftveiene frie,67750007
Sykepleierdiagnoser,Postoperative wound infection (disorder),postoperativ sårinfeksjon,58126003
Sykepleierdiagnoser,Chapping of lips (disorder),tørr og/eller sprokken leppe,402294001
Sykepleierdiagnoser,Diversional activity deficit (finding),mangel på avledende aktiviteter,23935006
Sykepleierdiagnoser,Disorganized infant response to environment (finding),desorganisert atferd hos spedbarn,130971003
Sykepleierdiagnoser,At increased risk for constipation (finding),risiko for obstipasjon,129691005
Sykepleierdiagnoser,Underweight (finding),undervektig,248342006
Sykepleierdiagnoser,Proteinuria (finding),protein i urin,29738008
Sykepleierdiagnoser,At increased risk of cerebrovascular accident (finding),risiko for hjerneslag,866240007
Sykepleierdiagnoser,Personal hygiene disability (finding),utfordring med å utføra personleg hygiene,228153004
Sykepleierdiagnoser,Difficulty performing breastfeeding (finding),vansker med amming,289084000
Sykepleierdiagnoser,Cardiac output alteration (finding),endra minuttvolum,129900004
Sykepleierdiagnoser,Postoperative nausea (disorder),postoperativ kvalme,64581007
Sykepleierdiagnoser,Noncompliance with safety precautions (finding),etterlever ikkje tryggingstiltak,129835001
Sykepleierdiagnoser,Need for multidisciplinary cooperation (finding),behov for tverrfagleg samarbeid,517861000202105
Sykepleierdiagnoser,Lack of cooperation from family (situation),manglende samarbeid fra pårørende,567621000202100
Sykepleierdiagnoser,Housing unsatisfactory (finding),problem med dårlege buforhold,105531004
Sykepleierdiagnoser,At increased risk of electrolyte imbalance (finding),risiko for forstyrring i elektrolyttbalanse,715238005
Sykepleierdiagnoser,Raised intracranial pressure (finding),auka intrakranialt trykk,271719001
Sykepleierdiagnoser,Altered growth and development (finding),endring i vekst og utvikling,409033001
Sykepleierdiagnoser,Neglected elder (finding),utsatt for omsorgssvikt som eldre,95933007
Sykepleierdiagnoser,Abnormal sexual behavior (finding),unormal seksuell åtferd,102946008
Sykepleierdiagnoser,Noncompliance with fluid volume regimen (finding),etterlever ikkje væskeregime,129833008
Sykepleierdiagnoser,Conflicting attitude towards care (finding),motstridande haldning til pleie,704344007
Sykepleierdiagnoser,Chronic pain (finding),langvarige smerter,82423001
Sykepleierdiagnoser,Chronic confusion (finding),kronisk forvirring,130988005
Sykepleierdiagnoser,Acute confusion (finding),akutt forvirring,130987000
Sykepleierdiagnoser,Alteration in tissue perfusion (finding),endring i vevsperfusjon,409054008
Sykepleierdiagnoser,At increased risk for depressed mood (finding),risiko for depressivt stemningsleie,704295007
Sykepleierdiagnoser,At increased risk for suffocation (finding),risiko for kveling,42427004
Sykepleierdiagnoser,At increased risk for infertility (finding),risiko for infertilitet,588721000202105
Sykepleierdiagnoser,Victim of child neglect (finding),utsett for omsorgssvikt som barn,720824009
Sykepleierdiagnoser,At increased risk for raised intracranial pressure (finding),risiko for økt intrakranialt trykk,14461000202100
Sykepleierdiagnoser,Uspesifisert forstyrrelse i urinveier eller kjønnsorganer etter kirurgiske eller medisinske prosedyrer [n99.9] (finding),uspesifisert forstyrrelse i urinveier eller kjønnsorganer etter kirurgiske eller medisinske prosedyrer,1220761000202103
Sykepleierdiagnoser,At increased risk of health care associated complication (finding),risiko for helsetenesteassosiert komplikasjon,704356008
Sykepleierdiagnoser,Peripheral edema (disorder),perifert ødem,271809000
Sykepleierdiagnoser,Inadequate oral food intake for physiological needs (finding),utilstrekkelig peroralt matinntak,699653008
Sykepleierdiagnoser,Personal identity confusion (finding),identitetsforvirring,33084007
Sykepleierdiagnoser,Inappropriate self disclosure (finding),upassende grad av åpenhet om seg selv,704366000
Sykepleierdiagnoser,Depressed mood (finding),depressivt stemningsleie,366979004
Sykepleierdiagnoser,Deficient knowledge of therapeutic regimen (finding),mangelfull kunnskap om behandlingsregime,129868008
Sykepleierdiagnoser,Misuses drugs (finding),misbruker legemiddel eller rusmiddel,361055000
Sykepleierdiagnoser,Difficulty balancing activity and rest (finding),problem med aktivitetsbalanse,13331000202101
Sykepleierdiagnoser,Complication of health care (disorder),komplikasjon til behandling,706912001
Sykepleierdiagnoser,At increased risk for powerlessness (finding),risiko for maktesløshet,129713002
Sykepleierdiagnoser,Impairment of balance (finding),nedsatt balanse,387603000
Sykepleierdiagnoser,Ineffective health maintenance (finding),nedsatt ivaretakelse av egen helse,414487007
Sykepleierdiagnoser,At increased risk for social isolation (finding),risiko for sosial isolasjon,22761000175104
Sykepleierdiagnoser,Suspicion (finding),mistenksomhet,706876006
Sykepleierdiagnoser,Acute pain (finding),akutte smerter,274663001
Sykepleierdiagnoser,Patient not affected by gurgling breath (finding),pasienten er ikke plaget av surklete pust,17361000202103
Sykepleierdiagnoser,Fear of male sexual dysfunction (finding),engsteleg for seksuell dysfunksjon hos mann,187831000202107
Sykepleierdiagnoser,At increased risk of radiation exposure (finding),risiko for strålingseksponering,714658008
Sykepleierdiagnoser,Gurgling (finding),gurglelydar,24436009
Sykepleierdiagnoser,Infant feeding problem (finding),problem med mating av spedbarn,161838002
Sykepleierdiagnoser,Feeling angry (finding),føler seg sint,75408008
Sykepleierdiagnoser,Abdominal pain (finding),abdominalsmerter,21522001
Sykepleierdiagnoser,Profuse vaginal discharge (finding),stor mengd vaginal utflod,289560001
Sykepleierdiagnoser,Disorientated (finding),desorientert,62476001
Sykepleierdiagnoser,Therapeutic diet (finding),terapeutisk diett,226077000
Sykepleierdiagnoser,Hypothermia (finding),hypotermi,386689009
Sykepleierdiagnoser,Tendency to wander (finding),tendens til vandring,704448006
Sykepleierdiagnoser,Unconscious (finding),medvitslaus,418107008
Sykepleierdiagnoser,Nervous system problem (finding),problem med nervesystemet,299960009
Sykepleierdiagnoser,Health seeking behavior (finding),helsesøkende atferd,130969003
Sykepleierdiagnoser,Child at increased risk of abuse (finding),barn i risiko for mishandling,704659007
Sykepleierdiagnoser,Loss of hair (finding),hårtap,278040002
Sykepleierdiagnoser,At increased risk of vomiting (finding),risiko for oppkast,704413004
Sykepleierdiagnoser,Cramp in lower leg (finding),leggkramper,449918009
Sykepleierdiagnoser,Disturbed sensory perception (finding),sensorisk persepsjonsforstyrrelse,130985008
Sykepleierdiagnoser,Parenting stress (finding),foreldrestress,1236741000
Sykepleierdiagnoser,Family grieving (situation),familie i sorg,713459004
Sykepleierdiagnoser,Delusion (finding),vrangforestillinger,2073000
Sykepleierdiagnoser,Low activity level (finding),lågt aktivitetsnivå,457581000202104
Sykepleierdiagnoser,Mucous membrane dryness (finding),slimhinnetørrhet,123640000
Sykepleierdiagnoser,Decrease in appetite (finding),nedsatt matlyst,64379006
Sykepleierdiagnoser,Hyperalgesia (finding),hyperalgesi,55406008
Sykepleierdiagnoser,Dysfunctional coping using self defense mechanisms (finding),forsvarspreget mestring,129882008
Sykepleierdiagnoser,Poor adaptation to disability (finding),dårlig tilpasning til funksjonsnedsettelse,161047009
Sykepleierdiagnoser,Increased fluid intake (finding),auka væskeinntak,249480002
Sykepleierdiagnoser,Temporary disruption in family processes (finding),midlertidig forstyrret familieprosess,1149254008
Sykepleierdiagnoser,At increased risk for disuse syndrome (finding),risiko for inaktivitet,129694002
Sykepleierdiagnoser,Barrier to communication (finding),kommunikasjonshinder,706881002
Sykepleierdiagnoser,At increased risk of deficient food intake (finding),risiko for mangelfullt matinntak,704361005
Sykepleierdiagnoser,Has child as next of kin (finding),har barn som pårørande,497601000202100
Sykepleierdiagnoser,Heart transplant failure and rejection (disorder),svikt i og avstøtning av hjertetransplantat,213151004
Sykepleierdiagnoser,Pain due to fracture (finding),fraktursmerter,733826000
Sykepleierdiagnoser,Inflammatory disorder (disorder),inflammatorisk sykdom,128139000
Sykepleierdiagnoser,Fatigue (finding),fatigue,84229001
Sykepleierdiagnoser,Loss of initiative (finding),tap av initiativ,276306002
Sykepleierdiagnoser,Fear of death (finding),frykt for død,102912007
Sykepleierdiagnoser,Family in need of support (finding),behov for varetaking av pårørande,497731000202101
Sykepleierdiagnoser,Conflicting attitude towards treatment (finding),motstridende holdning til behandling,704340003
Sykepleierdiagnoser,Feeling ashamed (finding),føler skam,225012006
Sykepleierdiagnoser,Lack of self awareness (finding),manglande sjølvinnsikt,704447001
Sykepleierdiagnoser,At increased risk for injury due to fall (finding),risiko for fallskade,430576002
Sykepleierdiagnoser,Kinesthetic alteration (finding),endret dybdesensibilitet,129860001
Sykepleierdiagnoser,Anxiety (finding),angst,48694002
Sykepleierdiagnoser,Postoperative pain (finding),postoperative smerter,213299007
Sykepleierdiagnoser,At increased risk of disease (finding),risiko for sjukdom,313424005
Sykepleierdiagnoser,Difficulty passing urine (finding),problemer med vannlating,102835006
Sykepleierdiagnoser,Difficulty coping with pain (finding),vanskar med å meistra smerte,16399001
Sykepleierdiagnoser,Self-feeding deficit (finding),nedsatt evne til å spise selv,7653001
Sykepleierdiagnoser,Blood pressure alteration (finding),endring i blodtrykk,129899009
Sykepleierdiagnoser,Self-injurious behavior (finding),selvskading,248062006
Sykepleierdiagnoser,Delayed growth and development (finding),forseinka vekst og utvikling,129815002
Sykepleierdiagnoser,Impaired attitude to nutritional status (finding),svekt haldning til ernæringsstatus,714669006
Sykepleierdiagnoser,Menstrual bleeding present (finding),pågående menstruasjon,289894009
Sykepleierdiagnoser,Post-trauma response (finding),posttraumatisk reaksjon,39093002
Sykepleierdiagnoser,Poor response to enteral nutrition (situation),dårlig respons på enteral ernæring,706871001
Sykepleierdiagnoser,At increased risk of delayed growth (finding),risiko for forseinka vekst,704352005
Sykepleierdiagnoser,Blood glucose level unstable (finding),ustabilt blodsukkernivå,1259140002
Sykepleierdiagnoser,At increased risk for impaired skin integrity (finding),risiko for svekt hudintegritet,70693003
Sykepleierdiagnoser,At increased risk of food intake greater than requirement (finding),risiko for matinntak høgare enn kroppen treng,1156957002
Sykepleierdiagnoser,Physical aggression (finding),fysisk voldelig atferd,248004009
Sykepleierdiagnoser,Labored breathing (finding),anstrengt respirasjon,248549001
Sykepleierdiagnoser,Complex rehabilitation therapy requested (situation),kompleks rehabilitering,57161000202105
Sykepleierdiagnoser,Fear of being a burden to others (finding),frykt for å være til bry,704424002
Sykepleierdiagnoser,Deficient knowledge of travel health (finding),mangelfull kunnskap om helse ved reise,713398008
Sykepleierdiagnoser,Increased frequency of urination (finding),hyppig vasslating,162116003
Sykepleierdiagnoser,Increased pain (finding),auka smerter,1144586002
Sykepleierdiagnoser,At increased risk of polypharmacy (finding),risiko for polyfarmasi,704359001
Sykepleierdiagnoser,Taste sense altered (finding),endret smakssans,271801002
Sykepleierdiagnoser,Pain of skin (finding),hudsmerter,301364008
Sykepleierdiagnoser,Breastfeeding temporarily discontinued (finding),mellombels slutta å dia,1149253002
Sykepleierdiagnoser,At increased risk of impaired fetal development (finding),risiko for nedsatt fosterutvikling,714662002
Sykepleierdiagnoser,Impaired home maintenance management (finding),nedsett varetaking av husarbeid,67175002
Sykepleierdiagnoser,At increased risk of impaired school performance (finding),risiko for nedsatt skoleprestasjon,704415006
Sykepleierdiagnoser,At increased risk of neurological deficit (finding),risiko for nevrologisk utfallssymptom,568071000202108
Sykepleierdiagnoser,Victim of intimate partner abuse (finding),utsett for partnarvald,706893006
Sykepleierdiagnoser,Difficulty performing shopping activities (finding),vansker med å utføre innkjøp,300723007
Sykepleierdiagnoser,At increased risk for unplanned pregnancy (finding),risiko for ikke-planlagt svangerskap,1286875007
Sykepleierdiagnoser,Gingivitis (disorder),gingivitt,66383009
Sykepleierdiagnoser,Anticipatory grief (finding),ventesorg,14621004
Sykepleierdiagnoser,Lack of trust in healthcare provider (finding),manglende tillit til helsepersonell,704372000
Sykepleierdiagnoser,At increased risk for depressed mood during postpartum period (finding),risiko for depressivt stemningsleie i postpartumperioden,704294006
Sykepleierdiagnoser,Impaired dentition (finding),nedsett tannstatus,129904008
Sykepleierdiagnoser,Deficient knowledge of diagnostic testing (finding),mangelfull kunnskap om diagnostisk test,129862009
Sykepleierdiagnoser,Loss of appetite (finding),tap av matlyst,79890006
Sykepleierdiagnoser,Acute rejection of cardiac transplant (disorder),akutt avstøyting av hjartetransplantat,432843002
Sykepleierdiagnoser,Hyperemesis (disorder),hyperemesis,444673007
Sykepleierdiagnoser,Neuropathy (disorder),nevropati,386033004
Sykepleierdiagnoser,Impairment of older adult development (finding),nedsatt utvikling hos eldre voksen,704660002
Sykepleierdiagnoser,Impaired skin integrity (finding),svekt hudintegritet,7919002
Sykepleierdiagnoser,Abnormal sexual function (finding),unormal seksualfunksjon,56925008
Sykepleierdiagnoser,Expressive dysphasia (finding),ekspressiv afasi,229665008
Sykepleierdiagnoser,Tachycardia (finding),takykardi,3424008
Sykepleierdiagnoser,Victim of sexual aggression (finding),utsatt for seksuell vold,56890008
Sykepleierdiagnoser,At increased risk of elopement from healthcare setting (finding),risiko for rømming frå helseteneste,704368004
Sykepleierdiagnoser,Disturbance in thinking (finding),tankeforstyrring,26628009
Sykepleierdiagnoser,Unable to perform bathing activity (finding),ikke i stand til å utføre kroppsvask,284799008
Sykepleierdiagnoser,Deficient knowledge of patient controlled analgesia (finding),mangelfull kunnskap om pasientstyrt analgesi,705086000
Sykepleierdiagnoser,Seizure (finding),anfall,91175000
Sykepleierdiagnoser,At increased risk of impaired nervous system function (finding),risiko for nedsatt funksjon i nervesystemet,704297004
Sykepleierdiagnoser,Nutrition impaired (finding),ernæringssvikt,445261000124106
Sykepleierdiagnoser,At increased risk for autonomic dysreflexia (finding),risiko for autonom dysrefleksi,130983001
Sykepleierdiagnoser,Child at increased risk of neglect (finding),barn i risiko for omsorgssvikt,704658004
Sykepleierdiagnoser,Skin ulcer (disorder),hudsår,46742003
Sykepleierdiagnoser,Deficient knowledge of parenting (finding),mangelfull kunnskap om foreldreskap,713447003
Sykepleierdiagnoser,Impaired impulse control (finding),nedsatt impulskontroll,1144747004
Sykepleierdiagnoser,Fatigue due to treatment (finding),fatigue forårsaket av behandling,704369007
Sykepleierdiagnoser,At increased risk of exposure to communicable disease (finding),risiko for eksponering for smittsam sjukdom,1296884009
Sykepleierdiagnoser,Bleeding (finding),blødning,131148009
Sykepleierdiagnoser,Body weight problem (finding),problem med kroppsvekt,301336003
Sykepleierdiagnoser,Anemia (disorder),anemi,271737000
Sykepleierdiagnoser,Health seeking behavior alteration (finding),endring i helsesøkende atferd,130970002
Sykepleierdiagnoser,Ineffective community coping (finding),ineffektiv meistring i lokalsamfunnet,129885005
Sykepleierdiagnoser,Spiritual beliefs conflicting with healthcare plan (finding),konflikt mellom åndelig tro og pleieplan,422930008
Sykepleierdiagnoser,Deficient knowledge of safety precautions (finding),mangelfull kunnskap om sikkerhetstiltak,129867003
Sykepleierdiagnoser,Family situation changed (finding),endra familiesituasjon,14721000202104
Sykepleierdiagnoser,Water supply insufficient (finding),utilstrekkeleg vassforsyning,424466003
Sykepleierdiagnoser,At increased risk for self-mutilation (finding),risiko for sjølvmutilering,129708001
Sykepleierdiagnoser,Ischemic ulcer (disorder),arterielt sår,13954005
Sykepleierdiagnoser,Deficient knowledge of infant feeding (finding),mangelfull kunnskap om mating av spedbarn,713448008
Sykepleierdiagnoser,Feeling powerless (finding),føler seg maktesløs,33300005
Sykepleierdiagnoser,Impairment of caregiver child attachment (finding),svekket tilknytning mellom omsorgsperson og barn,704305004
Sykepleierdiagnoser,Cultural belief conflict (finding),konflikt knyttet til kulturelle oppfatninger,704301008
Sykepleierdiagnoser,Surgical follow-up (finding),kirurgisk oppfølging,183644000
Sykepleierdiagnoser,Lactation problem (finding),problem med laktasjon,58219009
Sykepleierdiagnoser,Disturbance in role performance (finding),vanskar med rolleutøving,27179007
Sykepleierdiagnoser,Avoidance behavior (finding),unngåelsesatferd,284489004
Sykepleierdiagnoser,Wound (disorder),sår,416462003
Sykepleierdiagnoser,Abnormal acid-base balance (finding),unormal syre-base-balanse,704429007
Sykepleierdiagnoser,Conflicting attitude of caregiver (finding),motstridande haldning hos omsorgsgjevar,705039004
Sykepleierdiagnoser,At increased risk of impaired gastrointestinal system function (finding),risiko for svekket gastrointestinal funksjon,714661009
Sykepleierdiagnoser,Abnormal urination (finding),unormal vannlating,38671000119103
Sykepleierdiagnoser,At increased risk of adverse drug interaction (finding),risiko for uønskt lækjemiddelinteraksjon,714665000
Sykepleierdiagnoser,At increased risk of embolism (finding),risiko for emboli,1144780006
Sykepleierdiagnoser,Noncompliance with immunization regimen (finding),etterlever ikkje vaksinasjonsprogram,704661003
Sykepleierdiagnoser,Noncompliance with diagnostic testing (finding),etterlever ikke diagnostisk testing,129831005
Sykepleierdiagnoser,Urge incontinence of urine (finding),urgeinkontinens,87557004
Sykepleierdiagnoser,Dysfunctional grieving (finding),dysfunksjonell sorg,53339009
Sykepleierdiagnoser,At risk of cerebrospinal fluid leak (finding),risiko for lekkasje av cerebrospinalvæske,337611000202102
Sykepleierdiagnoser,Lack of trust (finding),manglande tillit,704373005
Sykepleierdiagnoser,Tobacco user (finding),bruker tobakk,110483000
Sykepleierdiagnoser,At increased risk for urge incontinence (finding),risiko for urgeinkontinens,129692003
Sykepleierdiagnoser,Changed sexual function (finding),endra seksualfunksjon,427551000202106
Sykepleierdiagnoser,At increased risk of apnea (finding),risiko for apné,704422003
Sykepleierdiagnoser,At increased risk for imbalanced fluid volume (finding),risiko for væskeubalanse,129693008
Sykepleierdiagnoser,At increased risk for deficient parenting (finding),risiko for utilstrekkelig foreldreskap,8317005
Sykepleierdiagnoser,Alteration in family processes (finding),endring i familieforhold,64313000
Sykepleierdiagnoser,At increased risk for excess fluid volume (finding),risiko for overskot av væskevolum,129849005
Sykepleierdiagnoser,Moral distress (finding),moralsk krise,422838000
Sykepleierdiagnoser,Finding of walking aid use (finding),funn om bruk av ganghjelpemiddel,365112008
Sykepleierdiagnoser,Skin ulcer due to diabetes mellitus (disorder),diabetisk hudsår,422183001
Sykepleierdiagnoser,Rattling breathing (finding),surklende respirasjon,248577005
Sykepleierdiagnoser,Breastfeeding stopped (finding),slutta å dia,169746009
Sykepleierdiagnoser,Deficient knowledge of peritoneal dialysis (finding),mangelfull kunnskap om peritonealdialyse,704377006
Sykepleierdiagnoser,Difficulty preparing food for eating (finding),vansker med å tilberede måltid,286457005
Sykepleierdiagnoser,Pre-eclampsia (disorder),preeklampsi,398254007
Sykepleierdiagnoser,Harmful pattern of use of alcohol (disorder),skadelig bruksmønster for alkohol,15167005
Sykepleierdiagnoser,Impairment of mental alertness (finding),svekket mental årvåkenhet,704426000
Sykepleierdiagnoser,Problem with high complexity of treatment regime (finding),vanskar med høg kompleksitet i behandlingsregimet,706877002
Sykepleierdiagnoser,Hyperglycemia (disorder),hyperglykemi,80394007
Sykepleierdiagnoser,Inadequate community resources (finding),utilstrekkelige fasiliteter i nærområdet,422923002
Sykepleierdiagnoser,Chest pain (finding),brystsmerter,29857009
Sykepleierdiagnoser,Bowel problem (finding),tarmproblem,309615009
Sykepleierdiagnoser,At increased risk for infection of eye (finding),risiko for øyeinfeksjon,704360006
Sykepleierdiagnoser,Ineffective protection (finding),ineffektiv beskyttelse,129837009
Sykepleierdiagnoser,Impaired cognition (finding),kognitiv svikt,386806002
Sykepleierdiagnoser,Suffering (finding),lidelse,706873003
Sykepleierdiagnoser,At increased risk of elder neglect (finding),eldre i risiko for omsorgssvikt,706874009
Sykepleierdiagnoser,Uncompensated sensory deficit (finding),ikkje-kompensert sensorisk utfall,74530003
Sykepleierdiagnoser,Heart-lung transplant failure and rejection (disorder),svikt i og avstøtning av transplantert hjerte og lunge,213152006
Sykepleierdiagnoser,Health maintenance alteration (finding),endret ivaretakelse av egen helse,24441001
Sykepleierdiagnoser,At increased risk for acute confusion (finding),risiko for akutt forvirring,423192007
Sykepleierdiagnoser,Deficient knowledge of pain management (finding),mangelfull kunnskap om smertebehandling,704404001
Sykepleierdiagnoser,Fear of contagion (finding),frykt for smitte,705047004
Sykepleierdiagnoser,Deficient knowledge of labor and delivery (finding),mangelfull kunnskap om fødsel,713451001
