Refererence set,Term,Preferred Term,Concept Id
Mål,Able to feed self (finding),i stand til å spise selv,289000006
Mål,No inappropriate sexual behavior (situation),ingen upassende seksuell atferd,15901000202106
Mål,Reduced level of persistent sadness (finding),redusert vedvarande tristheit,1157202002
Mål,Coping with hair loss (finding),meistrar hårtap,327591000202109
Mål,Spiritual needs met (finding),eksistensielle behov varetekne,14071000202103
Mål,Able to swallow (finding),i stand til å svelge,288936000
Mål,Normal musculoskeletal system function (finding),normal muskel- og skjelettfunksjon,1157172005
Mål,Satisfied with management of pain (finding),tilfreds med smertehåndtering,1149085006
Mål,Adequate activity tolerance (finding),tilfredsstillende aktivitetstoleranse,9751000202109
Mål,Adequate cardiovascular function (finding),tilfredsstillende kardiovaskulær funksjon,278811000202109
Mål,Normal weight (finding),normal vekt,43664005
Mål,Adequate family support (finding),tilfredsstillande pårørandestøtte,1148841003
Mål,No anxiety (situation),ingen angst,14851000202101
Mål,Absence of signs and symptoms of radiation injury (situation),ingen teikn eller symptom på stråleskade,397606006
